date,90day_bull_prop_rollingz_60,cumulative_z,last
2017-03-13,1.165597729328302,0.0,139.2
2017-03-14,1.1316457232232566,0.6785988411155951,138.99
2017-03-15,1.1250004297918328,3.227714534600114,140.46
2017-03-16,1.0878748327000578,0.32242001430421874,140.66
2017-03-17,1.065403060170845,0.0,140.82
2017-03-20,1.0340750628147615,1.8216541515364015,140.97
2017-03-21,1.0155645014788282,0.0,140.17
2017-03-22,1.000679027006857,0.6237458680766401,140.61
2017-04-12,0.6775488117784372,0.5246712926595927,141.79
2017-04-13,0.6818099823078525,0.5569433946990829,141.05
2017-04-14,0.6834635698855562,0.0052505869636195746,141.05
2017-04-17,0.6837395183252214,0.24902027997313736,141.8
2017-04-18,0.6679308972893749,0.0,141.2
2017-04-19,0.6753591391493258,0.19998844671293214,140.68
2017-04-20,0.6903410478931745,0.0,142.44
2017-04-21,0.8415267125311846,0.0,142.26
2017-04-24,1.0895028113312089,0.0,143.62
2017-04-25,1.0667822877776858,0.0,144.77
2017-04-26,1.1539543862508412,0.6828887945025954,143.65
2017-04-27,1.2841042989301827,0.26057707296252575,143.79
2017-04-28,1.4421833787409142,2.042332323116807,144.14
2017-05-01,1.5656240819340288,2.792605714366492,146.6
2017-05-02,1.5408835937445535,4.462860347685502,147.51
2017-05-03,1.529180915105947,3.216427486462948,147.06
2017-05-04,1.4648104276609104,1.2120072875783283,146.53
2017-05-05,1.534419112245867,0.06869193576284993,148.95
2017-05-08,2.0217938273261753,2.084473114264399,153.0
2017-05-09,2.088384957841372,1.83277819835123,153.96
2017-05-10,1.9803096343418407,1.9046084932357,153.26
2017-05-11,1.996499250079554,1.0755916838415733,153.95
2017-05-12,2.211399544341178,4.217584572018003,156.1
2017-05-15,2.109584244622435,0.7949786338593674,155.7
2017-05-16,1.6104341328401142,0,155.47
2017-05-17,1.4897739694893022,0,150.25
2017-05-18,1.4411217624032755,0,152.54
2017-05-19,1.2864001169887003,0,152.96
2017-02-21,,,136.7
2017-02-22,,,137.07
2017-02-23,,,136.53
2017-02-24,,,136.66
2017-02-27,,,136.93
2017-02-28,,,137.0
2017-03-01,,,139.78
2017-03-02,,,138.96
2017-03-23,0.97790175141826,0.0,
2017-03-03,,,139.75
2017-03-24,0.9523963004186778,0.8533815523121391,
2017-03-06,,,139.34
2017-03-27,0.9381188728866063,0.1875565181921084,
2017-03-07,,,139.52
2017-03-28,0.9108252260823415,1.2676028403396566,
2017-03-08,,,139.06
2017-03-29,0.8920673784015437,0.0,
2017-03-09,,,138.65
2017-03-30,0.8669412485821416,1.561853278353647,
2017-03-10,,,139.14
2017-03-31,0.87834809928384,0.9626828409037683,
2017-04-03,0.8863171871867958,0.836296102841481,
2017-04-04,0.8693310732126693,0.0,
2017-04-05,0.8330251639126098,2.034662620140833,
2017-04-06,0.7944654921541957,0.9605992778770831,
2017-04-07,0.7947602715076137,0.36283385965400605,
2017-04-10,0.7575407129094046,0.3404031004903516,
2017-04-11,0.7042676251638118,0.5630492862943752,
